51C13984B2AA6D5,setImage
4AADCEA73EF334D,setRGB
112A051B19C766,setShaderVector
CA3D0DA5D839390,setMaterial
CFFA31C37CF3B0A,addElement
125684F26C7374D,setTTF
4BE018519BDF8FD,setAlpha
7EBB0B50146AD34,setScale
859D9BC183E936A,setAlignment
54282D267A5123B,LUIAlignment
2810D0C0F42FBF6,beginAnimation
9F53828098C9906,setLeftRight
6A56DF93077F170,setTopBottom
82F16F050DB14C6,completeAnimation
